,1,2-3,4-10,11-25,CM,MC-WD-DNF,
Sanghyun Park,0,0,0,0,0,2,
Jazz Janewattananond,0,0,0,0,0,2,
Thomas Curtis,0,0,0,0,0,2,
Haraldur Magnus,0,0,0,0,0,2,
Hideto Tanihara,0,0,0,0,1.5,3,
Shota Akiyoshi,0,0,0,0,0,4,
Michael Hendry,0,0,0,0,0,2,
Sandy Lyle,0,0,0,0,0,4,
Todd Hamilton,0,0,0,0,0,2,
Danthai Boonma,0,0,0,0,0,2,
Minchel Choi,0,0,0,0,0,2,
Grant Forrest,0,0,0,0,0,2,
Nicolas Colsaerts,0,0,0,1,1,2.5,
Lin YuxinAm),0,0,0,0,0,4,
Brady Schnell,0,0,0,0,0,2,
Masanori Kobayashi,0,0,0,0,0,2,
Jack Senior,0,0,0,0,0,2,
Ashton Turner,0,0,0,0,0,2,
James Robinson,0,0,0,0,0,2,
Jens Dantorp,0,1,0,0,1.5,2,
Jovan Rebula(Am),0,0,0,0,0,2,
Darren Clarke,0,0,0,0,0,4,
David Duval,0,0,0,0,0,4,
Trevor Immelman,0,1,0,0,0.5,3,
Dean Burmester,0,0,1,0.5,4.5,0,
Aaron Rai,0,0,1,0,1,0.5,
Stephen Gallacher,0,0,1,0,0.5,1,
Marcel Siem,0,0,0,1,0,1.5,
Richard Sterne,0,0,0,1,1,0.5,
Scott Hend,0,0,0,1,0,1.5,
Andrea Pavan,0,0,0,1,0.5,1,
Sam Horsfield,0,0,0,3.5,0,0,
Justin Walters,0,0,0,1,0,1,
Joakim Lagergren,0,0,0,2,0,0.5,
Rakhyun Cho,0,0,0,0,1.5,1,
Connor Syme,0,0,0,0,1,1,
Thongchai Jaidee,0,0,0.5,0,2,0,
Gonzalo Fdez-Castano,0,0,0,0,2,0.5,
James Morrison,0,0,0,0,2,2.5,
Steven Brown,0,0,0,0,1,1.5,
Ricardo Gouveia,0,0,0,0,2,0.5,
Oliver Fisher,0,0,0,0,2,0.5,
Christiaan Bezuidenhout,0,0,0,1,1,0,
Darren Fichardt,0,0,0.5,0,2,0,
Soren Kjeldsen,0,0,0,0,2,0.5,
Matthieu Pavon,0,0,1,2,1.5,0,
Jinho Choi,0,0,0,0,2,0.5,
Robert Karlsson,0,0,0,0,1,1.5,
Robert Rock,0,0,0,0.5,2,0,
Benjamin Hebert,0,0,0,0,2.5,0,
Oliver Farr,0,0,0,0,1,1.5,
Lorenzo Gagli,0,0,0,0,1,1,
Julien Guerrier,0,0,0,0,2,0.5,
Jamie McLeary,0,0,0,0,1,0,
Clement Sordet,0,0,0,0,1,1.5,
Scott Fernandez,0,0,0,0,1.5,1,
Duncan Stewart,0,0,0,0,1,0,
Pedro Oriol,0,0,0,0,1,1.5,
Thomas Detry,0,0,0,0,1.5,1,
Adam Bland,0,0,0,1.5,2,0.5,
Lasse Jensen,0,0,0,0,0.5,2,
David Horsey,0,0,0,0,1,1.5,
Matteo Manassero,0,0,0,0,1.5,1,
Lucas Bjerregaard,0,0.5,0,0,0,2,
